Project,Date,Chinook Run,Chinook,Jack Chinook,Steelhead,Wild Steelhead,Sockeye,Coho,Jack Coho,Shad,Lamprey,Bull Trout,Chum,Pink,TempC
Willamette Falls,1/1/01,,,,27,,,,,,,,,,
Willamette Falls,1/2/01,,,,56,,,,,,,,,,
Willamette Falls,1/3/01,,,,23,,,,,,,,,,7.2
Willamette Falls,1/4/01,,,,21,,,,,,,,,,7.2
Willamette Falls,1/5/01,,,,11,,,,,,,,,,7.2
Willamette Falls,1/6/01,,,,11,,,,,,,,,,6.7
Willamette Falls,1/7/01,,,,8,,,,,,,,,,
Willamette Falls,1/8/01,,,,15,,,,,,,,,,
Willamette Falls,1/9/01,,,,8,,,,,,,,,,6.7
Willamette Falls,1/10/01,,,,11,,,,,,,,,,6.1
Willamette Falls,1/11/01,,,,8,,,,,,,,,,6.1
Willamette Falls,1/12/01,,,,16,,,,,,,,,,5.6
Willamette Falls,1/13/01,,,,9,,,,,,,,,,6.1
Willamette Falls,1/14/01,,,,19,,,,,,,,,,
Willamette Falls,1/15/01,,,,11,,,,,,,,,,
Willamette Falls,1/16/01,,,,14,,,,,,,,,,6.1
Willamette Falls,1/17/01,,,,7,,,,,,,,,,6.1
Willamette Falls,1/18/01,,,,6,,,,,,,,,,6.1
Willamette Falls,1/19/01,,,,4,,,,,,,,,,5.6
Willamette Falls,1/20/01,,,,5,,,,,,,,,,
Willamette Falls,1/21/01,,,,5,,,,,,,,,,
Willamette Falls,1/22/01,,,,10,,,,,,,,,,5.6
Willamette Falls,1/23/01,,,,16,,,,,,,,,,5.6
Willamette Falls,1/24/01,,,,15,,,,,,,,,,6.1
Willamette Falls,1/25/01,,,,17,,,,,,,,,,6.1
Willamette Falls,1/26/01,,,,50,,,,,,,,,,6.1
Willamette Falls,1/27/01,,,,12,,,,,,,,,,
Willamette Falls,1/28/01,,,,8,,,,,,,,,,
Willamette Falls,1/29/01,,,,5,,,,,,,,,,5.6
Willamette Falls,1/30/01,,,,2,,,,,,,,,,5.6
Willamette Falls,1/31/01,,,,8,,,,,,,,,,5.6
Willamette Falls,2/1/01,,,,8,,,,,,,,,,5.6
Willamette Falls,2/2/01,,,,20,,,,,,,,,,5.6
Willamette Falls,2/3/01,,,,39,,,,,,,,,,
Willamette Falls,2/4/01,,,,51,,,,,,,,,,6.1
Willamette Falls,2/5/01,,,,99,,,,,,,,,,
Willamette Falls,2/6/01,,,,175,,,,,,,,,,6.7
Willamette Falls,2/7/01,,,,100,,,,,,,,,,7.2
Willamette Falls,2/8/01,,,,35,,,,,,,,,,6.7
Willamette Falls,2/9/01,,,,18,,,,,,,,,,6.1
Willamette Falls,2/10/01,,,,21,,,,,,,,,,
Willamette Falls,2/11/01,,,,,,,,,,,,,,
Willamette Falls,2/12/01,,,,4,,,,,,,,,,5
Willamette Falls,2/13/01,,,,14,,,,,,,,,,
Willamette Falls,2/14/01,,,,12,,,,,,,,,,5
Willamette Falls,2/15/01,,,,30,,,,,,,,,,
Willamette Falls,2/16/01,,,,22,,,,,,,,,,6.1
Willamette Falls,2/17/01,,,,58,,,,,,,,,,
Willamette Falls,2/18/01,,,,69,,,,,,,,,,6.1
Willamette Falls,2/19/01,,,,48,,,,,,,,,,
Willamette Falls,2/20/01,,1,,94,,,,,,,,,,6.1
Willamette Falls,2/21/01,,,,294,,,,,,,,,,6.7
Willamette Falls,2/22/01,,2,,181,,,,,,,,,,6.7
Willamette Falls,2/23/01,,,,150,,,,,,,,,,7.2
Willamette Falls,2/24/01,,1,,224,,,,,,,,,,
Willamette Falls,2/25/01,,1,,190,,,,,,,,,,
Willamette Falls,2/26/01,,1,,151,,,,,,,,,,7.8
Willamette Falls,2/27/01,,1,,160,,,,,,,,,,7.8
Willamette Falls,2/28/01,,,,144,,,,,,,,,,7.8
Willamette Falls,3/1/01,,,,97,,,,,,,,,,
Willamette Falls,3/2/01,,,,112,,,,,,,,,,7.8
Willamette Falls,3/3/01,,1,,103,,,,,,,,,,
Willamette Falls,3/4/01,,,,50,,,,,,,,,,7.2
Willamette Falls,3/5/01,,1,,94,,,,,,,,,,
Willamette Falls,3/6/01,,1,,182,,,,,,,,,,7.2
Willamette Falls,3/7/01,,4,,305,,,,,,,,,,7.8
Willamette Falls,3/8/01,,3,,444,,,,,,,,,,
Willamette Falls,3/9/01,,4,,440,,,,,,,,,,8.9
Willamette Falls,3/10/01,,2,,406,,,,,,,,,,
Willamette Falls,3/11/01,,4,,335,,,,,,,,,,
Willamette Falls,3/12/01,,10,,345,,,,,,,,,,9.4
Willamette Falls,3/13/01,,13,,317,,,,,,,,,,9.4
Willamette Falls,3/14/01,,4,,334,,,,,,,,,,9.4
Willamette Falls,3/15/01,,14,,254,,,,,,,,,,9.4
Willamette Falls,3/16/01,,6,,282,,,,,,,,,,9.4
Willamette Falls,3/17/01,,8,,255,,,,,,,,,,
Willamette Falls,3/18/01,,20,,360,,,,,,,,,,
Willamette Falls,3/19/01,,7,,328,,,,,,,,,,9.4
Willamette Falls,3/20/01,,5,,319,,,,,,,,,,8.9
Willamette Falls,3/21/01,,7,,280,,,,,,,,,,9.4
Willamette Falls,3/22/01,,6,,227,,,,,,,,,,
Willamette Falls,3/23/01,,10,,286,,,,,,,,,,9.4
Willamette Falls,3/24/01,,13,,291,,,,,,,,,,
Willamette Falls,3/25/01,,21,,341,,,,,,,,,,
Willamette Falls,3/26/01,,24,,324,,,,,,,,,,10.6
Willamette Falls,3/27/01,,13,,238,,,,,,,,,,10.6
Willamette Falls,3/28/01,,25,,380,,,,,,,,,,10.6
Willamette Falls,3/29/01,,20,,416,,,,,,,,,,10
Willamette Falls,3/30/01,,8,,202,,,,,,,,,,10
Willamette Falls,3/31/01,,15,,276,,,,,,,,,,10
Willamette Falls,4/1/01,,30,,288,,,,,,,,,,
Willamette Falls,4/2/01,,45,,307,,,,,,,,,,10.6
Willamette Falls,4/3/01,,36,,274,,,,,,,,,,10
Willamette Falls,4/4/01,,33,,205,,,,,,,,,,9.4
Willamette Falls,4/5/01,,29,,149,,,,,,,,,,9.4
Willamette Falls,4/6/01,,27,,97,,,,,,,,,,9.4
Willamette Falls,4/7/01,,14,,126,,,,,,,,,,
Willamette Falls,4/8/01,,38,,157,,,,,,,,,,
Willamette Falls,4/9/01,,65,,198,,,,,,,,,,8.9
Willamette Falls,4/10/01,,28,,204,,,,,,,,,,8.3
